orfao_id,descricao,fornecedor_nome,nota_numero,data_emissao,melhor_produto_id,melhor_produto_nome,melhor_score,segundo_score,ambiguo,faixa
174cf0b1-85b3-4227-a920-6f80fa034ff6,Pasta celast.polip. A4 transparente line A02 PT 1 UN,Kalunga SA,65094,2026-02-11,574249e0-105a-4240-963e-ad62bb6337ee,Polvo por unidade,0.1000,0.1000,true,<0.20
075e9634-112d-45ea-a994-a3eff862dd8b,VH TTO VILLA  ANTINORI IGT 750ML,Vinhedo distribuidora e locacao ltda,21957,2026-02-13,f233675c-044d-4f20-a3ff-9d1a106fd764,Vinho Tinto Villa Antinori,0.5714,0.3750,false,0.40-0.60
08ec167d-b254-4689-a6b7-43ed9b23280e,VH BCO VILLA ANTINORI 750 ML,Vinhedo distribuidora e locacao ltda,21957,2026-02-13,d753d3ec-9263-402d-a6f5-f644f851f344,Vinho Branco Villa Antinori,0.6667,0.4286,false,0.60-0.75
ebd8247f-a49e-41e2-af55-3fb6c36cc287,VH TTO MAYOR CASTILLA RESERVA 750 ML,Vinhedo distribuidora e locacao ltda,21957,2026-02-13,aca8b6f8-2eea-4741-9176-55262c8ebf2b,Vinho Tinto Mayor de Castilla Reserva,0.6250,0.3750,false,0.60-0.75
0ea2cf25-1f8e-4982-a20e-3d85a76b2835,VH TTO ANGELICA ZAPATA MALBEC 750 ML,Vinhedo distribuidora e locacao ltda,21957,2026-02-13,cf5611f1-56e7-46c6-bf70-242ff0ca2465,Vinho Tinto Angelica Zapata Malbec Alta,0.6250,0.3750,false,0.60-0.75
80d8c9be-2f50-44ad-ba66-65d866fec579,VH TTO LUIGI BOSCA MALBEC 750 ML,Vinhedo distribuidora e locacao ltda,21957,2026-02-13,b3cbd71b-54b3-4cf8-9360-f1aaa538f44e,Vinho Tinto Luigi Bosca Malbec,0.7143,0.3750,false,0.60-0.75
12cc628a-b5c8-4b96-a0fd-6f4392f4a0d4,VH TTO PAULO LAUREANO NOSSO TERROIR 750 ML,Vinhedo distribuidora e locacao ltda,21957,2026-02-13,4b0ab815-efb5-40a4-bedb-22e7324077e1,Vinho Tinto Paulo laureano Nosso Terroir,0.7500,0.6000,false,0.75-0.85
ead7c088-ff67-43fa-bc64-21cff61b9e28,VH TTO PAULO LAUREANO CLASSICO 750 ML,Vinhedo distribuidora e locacao ltda,21957,2026-02-13,28fc6a1a-b541-450f-a9ea-74e1b4ed0ea3,Vinho Tinto Paulo Laureano Classico Portugues 750ml,0.8750,0.7500,false,0.85-0.95
9237d3be-a4d0-4a4e-b03b-43b0eab491ff,VH BCO BIANCO PUGLIA 750 ML,Vinhedo distribuidora e locacao ltda,21957,2026-02-13,64b612bc-5dec-49fb-b718-c7ee4cfda7dd,Vinho Branco Bianco Puglia IGP,0.5714,0.2857,false,0.40-0.60
66e7dd6b-ffb0-4e88-8072-827be333401a,POTE ULTRA 100ML.TRANS.SORV.C/50(40)582002,COMEL,592853,2026-02-13,d0763142-efce-4679-b1e8-ac10efc84350,Pote 1500ml,0.2000,0.2000,true,0.20-0.40
cbc50ee6-0a59-480d-b351-0b9f2f993712,POTETAMPA PLASZ.220GR.C/25(22)226666,COMEL,592853,2026-02-13,9ddf3d03-cc9f-4cb3-97d2-a6632fce9597,Plástico filme grande,0.1111,0.1000,true,<0.20
0346b4f8-b13c-4f9f-87fe-45288dcd63ba,TAMPAS PT100 CP120150/180/200 C/50 ULTRA(40)592001,COMEL,592853,2026-02-13,d391566d-58d4-43a8-b222-ccdf0b052af1,Salmao 200g,0.0833,0.0833,true,<0.20
db5124ec-9942-48a0-b609-067eb8015164,CGF Shiitake Kg,CASA FUNGHI,1818,2026-02-13,e5a0c0d1-cf0c-4232-9721-e8a2589ec119,Cenoura kg,0.2500,0.2000,true,0.20-0.40
d580079c-30f7-4a46-b781-e9db359e305a,CG Shimeji Preto 200g,CASA FUNGHI,1818,2026-02-13,cf92c76d-5cc4-4ae1-beaf-0eb29fb755cd,Shimeji,0.2500,0.2000,true,0.20-0.40
06fb7f98-cc5f-4eb9-9462-88f55d02047a,CGF Shimeji Preto Kg,CASA FUNGHI,1818,2026-02-13,cf92c76d-5cc4-4ae1-beaf-0eb29fb755cd,Shimeji,0.2500,0.2000,true,0.20-0.40
7b5bd78a-e331-45f4-aa81-21a1422cd966,VINHO POR MONTE VELHO TTO 750ML GRF VD,Megga distribuidora ltda,531865,2026-02-14,884ff453-435f-4d1c-ad09-79f3137f4848,Vinho Tinto Monte Velho Esporao,0.4000,0.3077,true,0.40-0.60
78fc53e2-3c2e-4c86-9785-ff68ee7ace61,VINHO POR MONTE VELHO BCO 750ML GRF VD,Megga distribuidora ltda,531865,2026-02-14,402f3816-5469-43ab-9b4b-9240d7daf253,Vinho Branco Esporao Monte Velho,0.4000,0.2727,false,0.40-0.60
b99a1fcb-ab59-4e94-bdaa-ad2c3b2d8fb1,VINHO POR SERRAS DE AZEITAO TTO 750ML GRF VD,Megga distribuidora ltda,531865,2026-02-14,f73d1447-6670-4ed9-81d1-9c10e903f818,Ciroc garrafa de 750ml,0.3636,0.3333,true,0.20-0.40
7a76de18-ca5d-4e69-bf9d-409dbc7d65fb,CHOC MINI TALENTO 15X25G AVELA,Assai atacadista,98865,2026-02-14,4c1273cc-9d0e-462d-bc93-8efffa0afc16,* Excluído * Chocolate,0.1429,0.1429,true,<0.20
1490dc55-b593-4f50-a03f-f2771b6cfcd2,QJ T MUSS NATVILLE KG,Assai atacadista,98865,2026-02-14,e5a0c0d1-cf0c-4232-9721-e8a2589ec119,Cenoura kg,0.2000,0.2000,true,0.20-0.40
542d91e7-a2b1-4dbc-9a95-662a98cf4fc5,QJ T PARM TIROLEZ KG,Assai atacadista,98865,2026-02-14,e5a0c0d1-cf0c-4232-9721-e8a2589ec119,Cenoura kg,0.2000,0.2000,true,0.20-0.40
61da0dba-e92c-4293-a5c5-eeb5c4bc1643,GUARDANAPO LISO 25 X 40 CM DOBRADA - TABUARA C/100,Relevo artefatos de papel ltda,59119,2026-02-17,30688e36-2eda-4642-a58c-d7371ec6bdf5,Escalope 100g,0.1111,0.1111,true,<0.20
8e6060e8-3a60-4230-824e-6fcbd47a7f4e,Mix Flores G ( 15 Uni),Cultive-se Horta vertical,2085,2026-02-18,53deb93e-c410-4ec4-970b-58f4073f36b0,Uisque Macallan 15 anos,0.1429,0.1429,true,<0.20
8feb4cec-a9e4-4833-b5ec-bfbd9eb0a09a,Microverdes de Beterraba  Peso:Kraft 40g,Cultive-se Horta vertical,2085,2026-02-18,026befa9-4b9d-444d-93b0-c8bedcfe5728,Xarope de Baunilha,0.1250,0.1250,true,<0.20
3a5804c2-a910-4572-94bf-bf322e035620,Microverdes de Couve Peso:Kraft 40g,Cultive-se Horta vertical,2085,2026-02-18,026befa9-4b9d-444d-93b0-c8bedcfe5728,Xarope de Baunilha,0.1250,0.1250,true,<0.20
952dbd49-390c-45fd-98c4-ad14c65fcb0d,"BALANCA DIGITAL DE COZINHA 10KG, QUALITY HOUSE",pinguim comercio varejista,4267,2026-02-19,e5a0c0d1-cf0c-4232-9721-e8a2589ec119,Cenoura kg,0.1111,0.1000,true,<0.20
543ca769-3262-49af-92e0-aaf1d0805acd,"BALANCA DIGITAL DE PLASTICO 20CM X 13,3CM, FENIMA",pinguim comercio varejista,4267,2026-02-19,85130314-5a4a-483d-9a90-0c43796a5825,Chips de Batata Peruana Roxa (20 g),0.1667,0.1667,true,<0.20
61a0b703-e2b7-4bb3-a591-06df5c8f3576,"COPO MEDIDOR 500ML, PANAMBY",pinguim comercio varejista,4267,2026-02-19,852a1ba1-fcea-4991-8f85-ad178cf87af0,Cachaça Bananinha 500ml,0.2857,0.1818,false,0.20-0.40
64ec7cd3-5184-4ed7-b521-904d3fdbfc35,BISCOITO MAISENA 350G,ROCHA LATICINIOS E EMBALAGENS,1923,2026-02-20,8a95644b-9ac2-4333-a8b4-b187c760201d,BISCOITO AMANTEIGADO,0.2500,0.2500,true,0.20-0.40
ec5b3315-121f-49a4-95fc-006bb0373d2a,CHANTILLY MIX AMELIA 1L,ROCHA LATICINIOS E EMBALAGENS,1923,2026-02-20,2af407d2-0df9-4da4-a408-a3aee4c5814d,mix de frutas vermelhas,0.1667,0.0000,false,<0.20
c0aefe93-e915-4cce-87c4-d7570eb81fb0,AGUA SANITARIA DRAGAO,ROCHA LATICINIOS E EMBALAGENS,1923,2026-02-20,a2e8883b-0af6-4450-b887-8b204983d80a,AGUA TONICA,0.2500,0.2000,true,0.20-0.40
ce9fda6b-e800-4644-a364-e96d2cc765a3,PANO DE CHAO MICROFIBRA,ROCHA LATICINIOS E EMBALAGENS,1923,2026-02-20,026befa9-4b9d-444d-93b0-c8bedcfe5728,Xarope de Baunilha,0.1667,0.1667,true,<0.20
9da00b68-45e0-4168-97aa-f506845f57c5,ESCOVA PARA LAVAR CONDOR,ROCHA LATICINIOS E EMBALAGENS,1923,2026-02-20,c6f8cff5-26ec-4862-9268-f83801fa1a99,Vinho Tinto Condor Cabernet Sauvignon,0.1250,0.1111,true,<0.20
