bucket,produto_id,nome,tipo,descontinuado,controla_estoque,categoria_compras,items_nfe_matched,orfaos_token_match,vendas_total,vendas_90d,vendas_30d,qtd_vendida_30d,ultima_venda
DESCONTINUADO,04be9253-18e1-4f8b-9f78-0c42196e9ccf,* Excluído * Vinho Branco Cartuxa,VENDA_SIMPLES,true,true,,0,14,0,0,0,0,
AUTO_NFE,e6637551-d545-4d5e-9ac6-67fdb65c8483,Ovo,INSUMO,false,true,,0,4,0,0,0,0,
DESCONTINUADO,d8dfdd8d-fcca-4145-ba24-d8e193c78a85,* Excluído * Filé Salteado - AVENIDA BARAO DE MARUIM - DUPLICADO - DUPLICADO,VENDA_SIMPLES,true,false,,0,9,0,0,0,0,
AUTO_NFE,dfac0e68-d38c-4663-9379-a81421528474,Licor Fino Villa Massa Limoncello 700ml garrafa,INSUMO,false,true,,0,13,0,0,0,0,
AUTO_NFE,3c45e170-5b98-49a7-871e-7b32b0e5096d,Salmão grelhado - MOUNJARO,VENDA_SIMPLES,false,false,,0,4,0,0,0,0,
AUTO_NFE,8a95644b-9ac2-4333-a8b4-b187c760201d,BISCOITO AMANTEIGADO,INSUMO,false,true,,0,1,0,0,0,0,
AUTO_NFE,b2668b99-6864-4a00-9909-b11c549c3152,Vinho Porto Valdouro 10 anos,VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
NUNCA_VENDIDO,a1f37d68-a832-4f50-b44e-5c22b077438d,VINAGRETE DE POLVO (SUGESTÃO CHEF),VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
DESCONTINUADO,6fe465df-c10b-4229-a03a-1b6363e6d3e5,* Excluído * Brusquetas,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
NUNCA_VENDIDO,f49826e8-cc3d-4f41-bdcb-5e49fd5f629a,voucher comidas e bebidas,VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
DESCONTINUADO,22960a73-4bc3-41e1-be30-dd37d70f8781,* Excluído * Tacos,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
AUTO_NFE,04567c60-dc8e-4d61-985c-c42f40571d4d,polpa maracuja,INSUMO,false,true,Confeitaria,0,2,0,0,0,0,
NUNCA_VENDIDO,c6ae6662-036b-48e1-95ef-f73f1e035007,Contagem antiga Polvo,INSUMO,false,true,,0,0,0,0,0,0,
DESCONTINUADO,06262053-9e5f-4fcf-9bec-33a4d90ab4aa,* Excluído * Vinho Tinto La Rosa Douro,VENDA_SIMPLES,true,false,,0,5,0,0,0,0,
AUTO_NFE,c8680e69-8122-4b37-9f09-ddebe648e68f,BATATA ESPECIAL TABUARA,VENDA_SIMPLES,false,false,,0,8,0,0,0,0,
